"method","scenarios","mean_coverage","sd_coverage","coverage_below_94","mean_width"
"normal",36,0.936686111111111,0.0120760956977654,0.5,1.69510547755606
"basic",36,0.935475,0.0168623058074172,0.555555555555556,1.68416077362061
"percentile",36,0.931758333333333,0.0114870206257821,0.722222222222222,1.68416077362061
"bca",36,0.926851160548456,0.0211534722864436,0.694444444444444,1.7449142104094
