"n","distribution","estimand","method","coverage_rate","mean_width","sd_width","left_tail_coverage","right_tail_coverage","n_successful","se_coverage"
50,"exponential","sd","basic",0.8354,2.95740566424367,1.24190637480997,0.9818,0.8536,10000,0.00370819147294203
50,"exponential","sd","normal",0.8292,3.04881316144656,1.38727241649681,0.9917,0.8375,10000,0.00376334106878449
50,"exponential","sd","bca",0.83930446959972,2.89624769653853,1.15297232741461,0.976543353950286,0.862761115649434,10000,0.00367249883471258
50,"exponential","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"exponential","sd","percentile",0.8561,2.30335886370466,0.804067690937391,0.994,0.8621,10000,0.0035098830464846
100,"exponential","sd","basic",0.8709,2.30335886370466,0.804067690937391,0.9871,0.8838,10000,0.003353105873664
100,"exponential","sd","normal",0.8675,2.34556929512307,0.862790327071845,0.9919,0.8756,10000,0.00339033552911802
100,"exponential","sd","bca",0.883664154548349,2.39555634233748,0.85488089891265,0.973251247213672,0.910412907334678,10000,0.00320627223601958
100,"exponential","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"exponential","sd","percentile",0.8978,1.75533777473269,0.502871146506137,0.9926,0.9052,10000,0.00302911142086256
200,"exponential","sd","basic",0.904,1.75533777473269,0.502871146506137,0.9897,0.9143,10000,0.00294591242232351
200,"exponential","sd","normal",0.9042,1.77591603453538,0.526030517176628,0.9929,0.9113,10000,0.00294316768125773
200,"exponential","sd","bca",0.918022782750203,1.86100771454979,0.584366027045112,0.973962571196094,0.944060211554109,10000,0.00274330007658251
200,"exponential","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"exponential","cv","percentile",0.8404,0.59772097574865,0.168344114770345,0.9989,0.8415,10000,0.00366234678860427
20,"exponential","cv","basic",0.8299,0.59772097574865,0.168344114770345,0.9673,0.8626,10000,0.00375720627594493
20,"exponential","cv","normal",0.8534,0.608187335354868,0.193143376524705,0.9972,0.8562,10000,0.00353706714666261
20,"exponential","cv","bca",0.901317904210865,0.616604885569086,0.158602793100853,0.984785170898961,0.916532733311904,10000,0.00298234705827138
20,"exponential","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"exponential","cv","percentile",0.8573,0.509284260401438,0.14459468033051,0.9982,0.8591,10000,0.00349766650783061
30,"exponential","cv","basic",0.846,0.509284260401438,0.14459468033051,0.9678,0.8782,10000,0.00360948749824681
30,"exponential","cv","normal",0.8666,0.519432033975143,0.168384092401724,0.9949,0.8717,10000,0.0034000652934907
30,"exponential","cv","bca",0.905086144640462,0.528461302676045,0.144453766082538,0.980398225523574,0.924687919116889,10000,0.00293095915052268
30,"exponential","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"exponential","cv","percentile",0.8632,0.454748801711073,0.125112845780313,0.9954,0.8678,10000,0.00343636086579975
40,"exponential","cv","basic",0.8532,0.454748801711073,0.125112845780313,0.969,0.8842,10000,0.00353906428311213
40,"exponential","cv","normal",0.8692,0.462850647854389,0.14343655323828,0.9906,0.8786,10000,0.00337181494154113
40,"exponential","cv","bca",0.899755750050885,0.474097389093897,0.132052820170839,0.977610421331162,0.922145328719723,10000,0.00300325390703573
40,"exponential","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"exponential","cv","percentile",0.8664,0.420141880479626,0.119219040379915,0.9956,0.8708,10000,0.00340222045141111
50,"exponential","cv","basic",0.854,0.420141880479626,0.119219040379915,0.9695,0.8845,10000,0.00353106216314582
50,"exponential","cv","normal",0.8682,0.427976183711806,0.135761065449372,0.9897,0.8785,10000,0.00338273203195287
50,"exponential","cv","bca",0.892335766423358,0.439299564041736,0.129687760918597,0.973540145985402,0.918795620437956,10000,0.00309955878126221
50,"exponential","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"exponential","cv","percentile",0.8874,0.320336153873119,0.0904521352534189,0.9921,0.8953,10000,0.00316103210992865
100,"exponential","cv","basic",0.8805,0.320336153873119,0.0904521352534189,0.9757,0.9048,10000,0.00324375939304998
100,"exponential","cv","normal",0.8887,0.325452679322886,0.101020695497974,0.9878,0.9009,10000,0.00314503275022693
100,"exponential","cv","bca",0.906085725839062,0.334249208467655,0.101537663234114,0.973412858875859,0.932672866963203,10000,0.00291709415805802
100,"exponential","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"exponential","cv","percentile",0.9098,0.241812691455999,0.0631652140614381,0.9908,0.919,10000,0.00286468078500904
200,"exponential","cv","basic",0.9049,0.241812691455999,0.0631652140614381,0.9819,0.923,10000,0.00293353012597451
200,"exponential","cv","normal",0.9102,0.244785832257557,0.0679367521586956,0.9883,0.9219,10000,0.00285895015696322
200,"exponential","cv","bca",0.920829975825947,0.252675259058823,0.0729766255525179,0.97411361804996,0.946716357775987,10000,0.00270003947093988
200,"exponential","cv","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"t","mean","percentile",0.9201,1.05896031174234,0.261144677288883,0.961,0.9591,10000,0.00271138322632563
20,"t","mean","basic",0.933,1.05896031174234,0.261144677288883,0.9662,0.9668,10000,0.00250021999032085
20,"t","mean","normal",0.9307,1.06529467558435,0.263981311454619,0.9657,0.965,10000,0.00253963599753981
20,"t","mean","bca",0.9086,1.09041717481092,0.299421711608446,0.9545,0.9541,10000,0.00288177098326706
20,"t","mean","t_interval",0.952,1.16787376678024,0.288252279798661,0.9762,0.9758,10000,0.00213766227454198
30,"t","mean","percentile",0.9332,0.884476658703447,0.184575074067766,0.967,0.9662,10000,0.00249675309151706
30,"t","mean","basic",0.9441,0.884476658703447,0.184575074067766,0.9725,0.9716,10000,0.00229728513685176
30,"t","mean","normal",0.9411,0.888590075723086,0.185526463609037,0.9708,0.9703,10000,0.00235437443920885
30,"t","mean","bca",0.924292429242924,0.90521412731546,0.208643161065301,0.962296229622962,0.961996199619962,10000,0.00264529647652466
30,"t","mean","t_interval",0.9549,0.943216134777548,0.19574590261871,0.9773,0.9776,10000,0.00207523468552354
40,"t","mean","percentile",0.931,0.773079713353541,0.144045784551049,0.9658,0.9652,10000,0.00253454137863243
40,"t","mean","basic",0.9409,0.773079713353541,0.144045784551049,0.9698,0.9711,10000,0.00235811768154179
40,"t","mean","normal",0.9385,0.776657001384185,0.144336827034312,0.9694,0.9691,10000,0.00240245187256686
40,"t","mean","bca",0.9229,0.788278164859745,0.161552536400059,0.9615,0.9614,10000,0.00266750051546387
40,"t","mean","t_interval",0.9506,0.811877189985707,0.14937952362598,0.9753,0.9753,10000,0.0021670173049609
50,"t","mean","percentile",0.9384,0.696432743172957,0.120750126788523,0.9699,0.9685,10000,0.00240427619045733
50,"t","mean","basic",0.9475,0.696432743172957,0.120750126788523,0.9739,0.9736,10000,0.00223033069296909
50,"t","mean","normal",0.9468,0.699571777194738,0.121672709098894,0.9739,0.9729,10000,0.00224432083267968
50,"t","mean","bca",0.928585717143429,0.708367805583467,0.131563430151148,0.964892978595719,0.96369273854771,10000,0.00257515597703621
50,"t","mean","t_interval",0.9535,0.724761891206024,0.125346538731694,0.9776,0.9759,10000,0.00210565310533335
100,"t","mean","percentile",0.9469,0.496583156142523,0.0615218047708487,0.9732,0.9737,10000,0.0022423289232403
100,"t","mean","basic",0.9516,0.496583156142523,0.0615218047708487,0.9751,0.9765,10000,0.00214609971809327
100,"t","mean","normal",0.9505,0.498657927539199,0.0609827316969878,0.9754,0.9751,10000,0.00216909543358516
100,"t","mean","bca",0.9427,0.5028178797502,0.0660230099134731,0.9718,0.9709,10000,0.00232414952186816
100,"t","mean","t_interval",0.9549,0.507533724950019,0.0610754194982317,0.977,0.9779,10000,0.00207523468552354
200,"t","mean","percentile",0.9456,0.354359026703742,0.0334067424944417,0.9705,0.9751,10000,0.00226805290943576
200,"t","mean","basic",0.9483,0.354359026703742,0.0334067424944417,0.9725,0.9758,10000,0.00221420662992414
200,"t","mean","normal",0.9495,0.355728398449918,0.0325498601295777,0.9731,0.9764,10000,0.00218974313562116
200,"t","mean","bca",0.9439,0.357895308261002,0.0353291069055364,0.9698,0.9741,10000,0.00230114732253283
200,"t","mean","t_interval",0.9511,0.358838012388131,0.0320765114804477,0.9737,0.9774,10000,0.00215658966889856
20,"t","median","percentile",0.939,1.1305418985697,0.326010603271424,0.9711,0.9679,10000,0.00239330315672712
20,"t","median","basic",0.8404,1.1305418985697,0.326010603271424,0.9205,0.9199,10000,0.00366234678860427
20,"t","median","normal",0.9375,1.18325427083706,0.355511217092118,0.9692,0.9683,10000,0.00242061459137964
20,"t","median","bca",0.9377,1.15795571752168,0.334163786952382,0.9802,0.9575,10000,0.0024169962763728
20,"t","median","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"t","median","percentile",0.9379,0.927638455767286,0.249950667362601,0.9697,0.9682,10000,0.00241337087908179
30,"t","median","basic",0.8501,0.927638455767286,0.249950667362601,0.9244,0.9257,10000,0.00356973374357248
30,"t","median","normal",0.9353,0.965405662508786,0.272388459321191,0.9677,0.9676,10000,0.00245995751995842
30,"t","median","bca",0.9383,0.944695250326827,0.25363971056718,0.9783,0.96,10000,0.0024060987095296
30,"t","median","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"t","median","percentile",0.9461,0.815165923137707,0.202176385510406,0.9724,0.9737,10000,0.00225820260384227
40,"t","median","basic",0.8611,0.815165923137707,0.202176385510406,0.9317,0.9294,10000,0.00345842146072453
40,"t","median","normal",0.9392,0.841259951341264,0.220454090720118,0.9696,0.9696,10000,0.00238963093384732
40,"t","median","bca",0.9431,0.822021815800352,0.204549884042974,0.9782,0.9649,10000,0.00231651440746653
40,"t","median","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"t","median","percentile",0.9455,0.72645646781148,0.172459482212133,0.9757,0.9698,10000,0.00227001651976368
50,"t","median","basic",0.8745,0.72645646781148,0.172459482212133,0.9397,0.9348,10000,0.00331284998151139
50,"t","median","normal",0.9388,0.745710987426306,0.186084928956039,0.9704,0.9684,10000,0.00239696808489392
50,"t","median","bca",0.948,0.730654373156648,0.173092979511802,0.9836,0.9644,10000,0.00222027025382047
50,"t","median","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"t","median","percentile",0.9471,0.514951471907131,0.106956142195874,0.9732,0.9739,10000,0.00223833844625874
100,"t","median","basic",0.8823,0.514951471907131,0.106956142195874,0.9417,0.9406,10000,0.00322252556235013
100,"t","median","normal",0.9423,0.52656703691989,0.115835268880179,0.9716,0.9707,10000,0.00233175277420227
100,"t","median","bca",0.9479,0.519515966689438,0.107405422968754,0.979,0.9689,10000,0.00222228688517032
100,"t","median","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"t","median","percentile",0.9494,0.362536795273336,0.0654503219032853,0.9723,0.9771,10000,0.00219179469841498
200,"t","median","basic",0.8996,0.362536795273336,0.0654503219032853,0.9473,0.9523,10000,0.00300532593906218
200,"t","median","normal",0.943,0.370293810754038,0.0705508196401746,0.9695,0.9735,10000,0.00231842619032826
200,"t","median","bca",0.9502,0.365737573404161,0.0658062157025631,0.9752,0.975,10000,0.00217531514958178
200,"t","median","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"t","sd","percentile",0.7606,0.863589254354103,0.442239910063246,0.9984,0.7622,10000,0.0042671728345592
20,"t","sd","basic",0.8235,0.863589254354103,0.442239910063246,0.9792,0.8443,10000,0.00381244999967213
20,"t","sd","normal",0.8053,0.897407956254567,0.528693655335158,0.9936,0.8117,10000,0.00395969582165095
20,"t","sd","bca",0.812432626661876,0.811371072596321,0.324801116726461,0.977123008743562,0.835309617918314,10000,0.00390366307200251
20,"t","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"t","sd","percentile",0.799,0.764899521682678,0.370630116356586,0.9969,0.8021,10000,0.00400748050525514
30,"t","sd","basic",0.8425,0.764899521682678,0.370630116356586,0.9858,0.8567,10000,0.00364271533337427
30,"t","sd","normal",0.8291,0.790616181666227,0.434048858934235,0.9942,0.8349,10000,0.00376421558893749
30,"t","sd","bca",0.85088515660463,0.740466775028968,0.287231801820419,0.977871084884249,0.873014071720381,10000,0.0035620163794478
30,"t","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"t","sd","percentile",0.8243,0.697902104118579,0.313105145715816,0.9972,0.8271,10000,0.00380564725112562
40,"t","sd","basic",0.855,0.697902104118579,0.313105145715816,0.9881,0.8669,10000,0.00352100837829165
40,"t","sd","normal",0.8467,0.717633886210014,0.357645735729564,0.9942,0.8525,10000,0.00360276435532495
40,"t","sd","bca",0.865884696248755,0.691225575061578,0.259926219969237,0.976208918889012,0.889675777359743,10000,0.00340776156811119
40,"t","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"t","sd","percentile",0.8305,0.638519412735284,0.28201965433454,0.9952,0.8353,10000,0.00375192950360211
50,"t","sd","basic",0.8607,0.638519412735284,0.28201965433454,0.9894,0.8713,10000,0.00346259310344141
50,"t","sd","normal",0.8486,0.654926438749144,0.32260544962578,0.994,0.8546,10000,0.00358438335003387
50,"t","sd","bca",0.871647923875433,0.638173359172546,0.234290125510022,0.976967993079585,0.894679930795848,10000,0.00334481420528975
50,"t","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"t","sd","percentile",0.8724,0.497837368102336,0.210762409866116,0.9947,0.8777,10000,0.0033364388200595
100,"t","sd","basic",0.8857,0.497837368102336,0.210762409866116,0.9921,0.8936,10000,0.00318175281880915
100,"t","sd","normal",0.8816,0.508057022535991,0.242824618393237,0.9939,0.8877,10000,0.00323081166272502
100,"t","sd","bca",0.899853187919463,0.509417930740192,0.179738587743367,0.977348993288591,0.922504194630873,10000,0.00300195649719716
100,"t","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"t","sd","percentile",0.8917,0.379480936414718,0.148560939953932,0.9933,0.8984,10000,0.00310758925857327
200,"t","sd","basic",0.8986,0.379480936414718,0.148560939953932,0.9925,0.9061,10000,0.00301857648569653
200,"t","sd","normal",0.8977,0.385848312990592,0.167073602494961,0.9932,0.9045,10000,0.00303042422772786
200,"t","sd","bca",0.911616421442535,0.392636066045749,0.139218140591362,0.976026340158452,0.935590081284083,10000,0.00283851936049133
200,"t","sd","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"lognormal","mean","percentile",0.9138,1.64496393347712,0.390764508204643,0.976,0.9378,10000,0.00280659152710187
20,"lognormal","mean","basic",0.9109,1.64496393347712,0.390764508204643,0.9844,0.9265,10000,0.00284888030636599
20,"lognormal","mean","normal",0.9146,1.65814903271633,0.396053543308659,0.9808,0.9338,10000,0.00279476009703874
20,"lognormal","mean","bca",0.9169,1.70948090757847,0.4557423369424,0.9665,0.9504,10000,0.00276033313206939
20,"lognormal","mean","t_interval",0.9392,1.81779624001323,0.432292506867727,0.9891,0.9501,10000,0.00238963093384732
30,"lognormal","mean","percentile",0.9297,1.3694713900962,0.264982299844831,0.9792,0.9505,10000,0.00255651931344162
30,"lognormal","mean","basic",0.925,1.3694713900962,0.264982299844831,0.9856,0.9394,10000,0.00263391343821318
30,"lognormal","mean","normal",0.9295,1.3780373280241,0.266882698863792,0.9829,0.9466,10000,0.00255987792677698
30,"lognormal","mean","bca",0.928492849284928,1.41205384320592,0.299156187612865,0.96979697969797,0.958695869586959,10000,0.00257670095493605
30,"lognormal","mean","t_interval",0.943,1.46271626311609,0.281240115555523,0.9887,0.9543,10000,0.00231842619032826
40,"lognormal","mean","percentile",0.9282,1.19408830387511,0.205073450102503,0.9782,0.95,10000,0.00258156464184029
40,"lognormal","mean","basic",0.9238,1.19408830387511,0.205073450102503,0.9841,0.9397,10000,0.00265317847119262
40,"lognormal","mean","normal",0.9281,1.20126060044685,0.2063834102641,0.9822,0.9459,10000,0.00258322259977726
40,"lognormal","mean","bca",0.9309,1.2261283178974,0.228763652966459,0.9704,0.9605,10000,0.0025362411162979
40,"lognormal","mean","t_interval",0.9386,1.25542735942324,0.213394054613217,0.9851,0.9535,10000,0.00240062575175724
50,"lognormal","mean","percentile",0.9334,1.07836202638443,0.166910215285922,0.98,0.9534,10000,0.00249327976769555
50,"lognormal","mean","basic",0.9307,1.07836202638443,0.166910215285922,0.9861,0.9446,10000,0.00253963599753981
50,"lognormal","mean","normal",0.9353,1.0844909537359,0.167412650888201,0.9844,0.9509,10000,0.00245995751995842
50,"lognormal","mean","bca",0.9364,1.1037340192883,0.183700991131713,0.9719,0.9645,10000,0.00244039013274517
50,"lognormal","mean","t_interval",0.9444,1.12342203187742,0.171389794543383,0.987,0.9574,10000,0.00229147637997864
100,"lognormal","mean","percentile",0.9416,0.770809394390193,0.0874210690018503,0.9797,0.9619,10000,0.00234498272914749
100,"lognormal","mean","basic",0.9381,0.770809394390193,0.0874210690018503,0.9845,0.9536,10000,0.00240973836754117
100,"lognormal","mean","normal",0.9409,0.774547715708527,0.0864238324479981,0.9822,0.9587,10000,0.00235811768154179
100,"lognormal","mean","bca",0.9408,0.783739005002704,0.0929707935722617,0.9727,0.9681,10000,0.00235998644063901
100,"lognormal","mean","t_interval",0.9467,0.788271708207411,0.0864001697574846,0.9851,0.9616,10000,0.00224631053062572
200,"lognormal","mean","percentile",0.9471,0.548487123027026,0.0455039092075272,0.9804,0.9667,10000,0.00223833844625874
200,"lognormal","mean","basic",0.9464,0.548487123027026,0.0455039092075272,0.9841,0.9623,10000,0.0022522664140816
200,"lognormal","mean","normal",0.9479,0.550924831340348,0.0444420301149514,0.9827,0.9652,10000,0.00222228688517032
200,"lognormal","mean","bca",0.9498,0.555394748650529,0.0472017550429633,0.9769,0.9729,10000,0.00218357413430367
200,"lognormal","mean","t_interval",0.9508,0.555884966144363,0.0431620530936304,0.9833,0.9675,10000,0.00216285367050108
20,"lognormal","median","percentile",0.9409,1.9031681779675,0.570662191827602,0.9691,0.9718,10000,0.00235811768154179
20,"lognormal","median","basic",0.8257,1.9031681779675,0.570662191827602,0.9333,0.8924,10000,0.00379367249508969
20,"lognormal","median","normal",0.9332,2.00229685753205,0.631672758547498,0.9713,0.9619,10000,0.00249675309151706
20,"lognormal","median","bca",0.9414,1.90850323065922,0.566252472892828,0.9795,0.9619,10000,0.00234874519690834
20,"lognormal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"lognormal","median","percentile",0.9404,1.56161018712046,0.435354215086793,0.9689,0.9715,10000,0.0023674425019417
30,"lognormal","median","basic",0.8312,1.56161018712046,0.435354215086793,0.9332,0.898,10000,0.00374575172695682
30,"lognormal","median","normal",0.9264,1.62893059503313,0.478348657224454,0.9667,0.9597,10000,0.00261118823526761
30,"lognormal","median","bca",0.9416,1.56902768744733,0.434085217618826,0.9785,0.9631,10000,0.00234498272914749
30,"lognormal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"lognormal","median","percentile",0.9416,1.36679124031248,0.354186337899244,0.9706,0.971,10000,0.00234498272914749
40,"lognormal","median","basic",0.8498,1.36679124031248,0.354186337899244,0.9424,0.9074,10000,0.00357267350873264
40,"lognormal","median","normal",0.935,1.41200851145182,0.382246104788633,0.9734,0.9616,10000,0.00246525860712421
40,"lognormal","median","bca",0.9417,1.36470498132783,0.353593709969282,0.9785,0.9632,10000,0.00234309858947506
40,"lognormal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"lognormal","median","percentile",0.9461,1.22796804992461,0.302818801807226,0.9749,0.9712,10000,0.00225820260384227
50,"lognormal","median","basic",0.8591,1.22796804992461,0.302818801807226,0.943,0.9161,10000,0.00347918366862113
50,"lognormal","median","normal",0.9383,1.26651563912987,0.330699193137096,0.9748,0.9635,10000,0.0024060987095296
50,"lognormal","median","bca",0.9434,1.2246316735107,0.301100271792279,0.9798,0.9636,10000,0.00231076697224103
50,"lognormal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"lognormal","median","percentile",0.9462,0.869995076127591,0.183168068390661,0.9749,0.9713,10000,0.00225622605250449
100,"lognormal","median","basic",0.8814,0.869995076127591,0.183168068390661,0.9516,0.9298,10000,0.00323317243585924
100,"lognormal","median","normal",0.9374,0.892033561692765,0.19907653587663,0.9724,0.965,10000,0.00242242110294639
100,"lognormal","median","bca",0.9463,0.874129501578856,0.183155051242331,0.9799,0.9664,10000,0.00225424732449658
100,"lognormal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"lognormal","median","percentile",0.9474,0.614890284032192,0.110159882307283,0.9745,0.9729,10000,0.00223233599621562
200,"lognormal","median","basic",0.897,0.614890284032192,0.110159882307283,0.9563,0.9407,10000,0.00303958878797774
200,"lognormal","median","normal",0.9414,0.627666466359376,0.117130573218611,0.9725,0.9689,10000,0.00234874519690834
200,"lognormal","median","bca",0.9499,0.619530844753762,0.109872233700582,0.9785,0.9714,10000,0.00218151300706643
200,"lognormal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"contaminated_normal","mean","percentile",0.9119,2.88980423362973,1.19187991403746,0.9563,0.9556,10000,0.00283440275895999
20,"contaminated_normal","mean","basic",0.9541,2.88980423362973,1.19187991403746,0.9775,0.9766,10000,0.00209268225012781
20,"contaminated_normal","mean","normal",0.9427,2.92375386461268,1.21633456485505,0.9723,0.9704,10000,0.00232414952186816
20,"contaminated_normal","mean","bca",0.864284280265007,3.1565042238934,1.47091048584321,0.931740614334471,0.932543665930536,10000,0.00342486442289043
20,"contaminated_normal","mean","t_interval",0.9653,3.20494752065258,1.33116096471449,0.9823,0.983,10000,0.00183018878807625
30,"contaminated_normal","mean","percentile",0.917,2.4426461996333,0.861753667634172,0.9599,0.9571,10000,0.00275882221246676
30,"contaminated_normal","mean","basic",0.957,2.4426461996333,0.861753667634172,0.9783,0.9787,10000,0.00202857092555326
30,"contaminated_normal","mean","normal",0.945,2.46013245401517,0.868875484183379,0.973,0.972,10000,0.0022798026230356
30,"contaminated_normal","mean","bca",0.874136377290478,2.6174977554455,1.01022252804682,0.938520076098929,0.935616301191549,10000,0.00331695600193848
30,"contaminated_normal","mean","t_interval",0.9611,2.61187728666877,0.921052669034147,0.9802,0.9809,10000,0.00193356639399841
40,"contaminated_normal","mean","percentile",0.9195,2.14506380698909,0.654083338638185,0.9572,0.9623,10000,0.00272065708974872
40,"contaminated_normal","mean","basic",0.958,2.14506380698909,0.654083338638185,0.978,0.98,10000,0.0020058913230781
40,"contaminated_normal","mean","normal",0.9446,2.1569011832021,0.657712042965843,0.9716,0.973,10000,0.00228759349535707
40,"contaminated_normal","mean","bca",0.87820256204964,2.26915567894569,0.747313694788932,0.936449159327462,0.941753402722178,10000,0.00327051711597858
40,"contaminated_normal","mean","t_interval",0.9567,2.25499113954351,0.684548821508628,0.9779,0.9788,10000,0.00203531594598971
50,"contaminated_normal","mean","percentile",0.9274,1.93771395134456,0.530324663423563,0.9646,0.9628,10000,0.0025947878525999
50,"contaminated_normal","mean","basic",0.9568,1.93771395134456,0.530324663423563,0.9796,0.9772,10000,0.00203307058411655
50,"contaminated_normal","mean","normal",0.9476,1.94593317365399,0.531164634063852,0.9755,0.9721,10000,0.00222832313635164
50,"contaminated_normal","mean","bca",0.888588858885889,2.02901230718533,0.588807175806178,0.944794479447945,0.943794379437944,10000,0.00314640586621884
50,"contaminated_normal","mean","t_interval",0.9564,2.01725940745941,0.548164242924969,0.9791,0.9773,10000,0.0020420342798298
100,"contaminated_normal","mean","percentile",0.9341,1.40740720593934,0.277710986254513,0.968,0.9661,10000,0.00248107214727827
100,"contaminated_normal","mean","basic",0.9549,1.40740720593934,0.277710986254513,0.9775,0.9774,10000,0.00207523468552354
100,"contaminated_normal","mean","normal",0.9468,1.41165592551362,0.276732411183581,0.9744,0.9724,10000,0.00224432083267968
100,"contaminated_normal","mean","bca",0.9119,1.44137969563454,0.290042177717895,0.9572,0.9547,10000,0.00283440275895999
100,"contaminated_normal","mean","t_interval",0.9509,1.43676012814233,0.279812010557533,0.9763,0.9746,10000,0.00216076815045021
200,"contaminated_normal","mean","percentile",0.9434,1.00769539343565,0.143991481121298,0.9702,0.9732,10000,0.00231076697224103
200,"contaminated_normal","mean","basic",0.9548,1.00769539343565,0.143991481121298,0.9756,0.9792,10000,0.00207742532958468
200,"contaminated_normal","mean","normal",0.9502,1.01086809421845,0.142804550591501,0.9733,0.9769,10000,0.00217531514958178
200,"contaminated_normal","mean","bca",0.929,1.02180999961807,0.146870597770166,0.9626,0.9664,10000,0.00256824843035093
200,"contaminated_normal","mean","t_interval",0.953,1.02001174181628,0.142378364026187,0.9747,0.9783,10000,0.00211638843315683
20,"contaminated_normal","median","percentile",0.9369,2.31824023089462,0.670143632377459,0.9709,0.966,10000,0.00243142735856945
20,"contaminated_normal","median","basic",0.8373,2.31824023089462,0.670143632377459,0.9204,0.9169,10000,0.00369091736564231
20,"contaminated_normal","median","normal",0.932,2.43162697821197,0.734264329973388,0.9664,0.9656,10000,0.00251745903640953
20,"contaminated_normal","median","bca",0.9356,2.37350728467664,0.686742547868948,0.9805,0.9551,10000,0.00245464131799332
20,"contaminated_normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
30,"contaminated_normal","median","percentile",0.9468,1.91324453562588,0.510873508578188,0.9756,0.9712,10000,0.00224432083267968
30,"contaminated_normal","median","basic",0.8536,1.91324453562588,0.510873508578188,0.9327,0.9209,10000,0.00353506775041158
30,"contaminated_normal","median","normal",0.939,1.99234891538994,0.555096154353289,0.9716,0.9674,10000,0.00239330315672712
30,"contaminated_normal","median","bca",0.9452,1.94688363523048,0.517168669866061,0.9836,0.9616,10000,0.0022758945494025
30,"contaminated_normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
40,"contaminated_normal","median","percentile",0.9474,1.66728002377237,0.416620030961537,0.9726,0.9748,10000,0.00223233599621562
40,"contaminated_normal","median","basic",0.8596,1.66728002377237,0.416620030961537,0.9296,0.93,10000,0.00347401554400668
40,"contaminated_normal","median","normal",0.9368,1.71972613259351,0.456444079309308,0.9683,0.9685,10000,0.00243322337651108
40,"contaminated_normal","median","bca",0.9476,1.68092731711937,0.419573771047172,0.9805,0.9671,10000,0.00222832313635164
40,"contaminated_normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
50,"contaminated_normal","median","percentile",0.946,1.49754904983448,0.356406448447822,0.9732,0.9728,10000,0.00226017698422048
50,"contaminated_normal","median","basic",0.8672,1.49754904983448,0.356406448447823,0.9339,0.9333,10000,0.00339358453556118
50,"contaminated_normal","median","normal",0.9403,1.53889137332005,0.388249628639904,0.9706,0.9697,10000,0.0023693017958884
50,"contaminated_normal","median","bca",0.945,1.50600211376488,0.357381661839105,0.9795,0.9655,10000,0.0022798026230356
50,"contaminated_normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
100,"contaminated_normal","median","percentile",0.9441,1.05394250324553,0.218353644113577,0.9729,0.9712,10000,0.00229728513685176
100,"contaminated_normal","median","basic",0.8789,1.05394250324553,0.218353644113577,0.9401,0.9388,10000,0.0032624345204157
100,"contaminated_normal","median","normal",0.9402,1.08082726776996,0.236979658589539,0.9728,0.9674,10000,0.00237115921017548
100,"contaminated_normal","median","bca",0.945,1.06302794402435,0.218883575568341,0.9776,0.9674,10000,0.0022798026230356
100,"contaminated_normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
200,"contaminated_normal","median","percentile",0.9485,0.750698828805001,0.1349130265881,0.9741,0.9744,10000,0.00221015270965605
200,"contaminated_normal","median","basic",0.9004,0.750698828805001,0.1349130265881,0.9492,0.9512,10000,0.00299465924605789
200,"contaminated_normal","median","normal",0.944,0.76665428757069,0.143718788170645,0.9724,0.9716,10000,0.00229921725811199
200,"contaminated_normal","median","bca",0.9495,0.757332599424038,0.135482688583747,0.9781,0.9714,10000,0.00218974313562116
200,"contaminated_normal","median","t_interval",NA,NA,NA,NA,NA,10000,NA
20,"contaminated_normal","sd","percentile",0.8436,3.2099319762605,2.15579270856208,0.8755,0.9681,10000,0.0036323413936468
